Subject	Object
ORPHANET.ORDO:1293	ORPHANET.ORDO:93434
ORPHANET.ORDO:1295	ORPHANET.ORDO:330206
ORPHANET.ORDO:1295	ORPHANET.ORDO:69028
ORPHANET.ORDO:1296	owl:Thing
ORPHANET.ORDO:1297	ORPHANET.ORDO:139039
ORPHANET.ORDO:1297	ORPHANET.ORDO:330206
ORPHANET.ORDO:1299	ORPHANET.ORDO:102283
ORPHANET.ORDO:1299	ORPHANET.ORDO:165707
ORPHANET.ORDO:1299	ORPHANET.ORDO:183763
ORPHANET.ORDO:1300	ORPHANET.ORDO:108987
ORPHANET.ORDO:1300	ORPHANET.ORDO:294963
ORPHANET.ORDO:1300	ORPHANET.ORDO:330197
ORPHANET.ORDO:1300	ORPHANET.ORDO:98565
ORPHANET.ORDO:1305	owl:Thing
ORPHANET.ORDO:1306	owl:Thing
ORPHANET.ORDO:1307	owl:Thing
ORPHANET.ORDO:1308	owl:Thing
ORPHANET.ORDO:1309	ORPHANET.ORDO:357506
ORPHANET.ORDO:1309	MONDO:0019741
ORPHANET.ORDO:130	owl:Thing
ORPHANET.ORDO:1310	owl:Thing
ORPHANET.ORDO:1318	ORPHANET.ORDO:330197
ORPHANET.ORDO:1318	ORPHANET.ORDO:89832
ORPHANET.ORDO:1318	ORPHANET.ORDO:93439
ORPHANET.ORDO:1318	MONDO:0024255
ORPHANET.ORDO:1319	ORPHANET.ORDO:69028
ORPHANET.ORDO:1325	ORPHANET.ORDO:404577
ORPHANET.ORDO:1326	ORPHANET.ORDO:330206
