IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HP_0000413	0	0
http://purl.obolibrary.org/obo/HP_0000414	0	0
http://purl.obolibrary.org/obo/HP_0000426	0	0
http://purl.obolibrary.org/obo/HP_0000430	0	0
http://purl.obolibrary.org/obo/HP_0000431	0	0
http://purl.obolibrary.org/obo/HP_0000444	0	0
http://purl.obolibrary.org/obo/HP_0000445	0	0
http://purl.obolibrary.org/obo/HP_0000446	0	0
http://purl.obolibrary.org/obo/HP_0000447	0	0
http://purl.obolibrary.org/obo/HP_0000448	0	0
http://purl.obolibrary.org/obo/HP_0000455	0	0
http://purl.obolibrary.org/obo/HP_0000460	0	0
http://purl.obolibrary.org/obo/HP_0000463	0	0
http://purl.obolibrary.org/obo/HP_0000464	0	1
http://purl.obolibrary.org/obo/HP_0000465	0	0
http://purl.obolibrary.org/obo/HP_0000470	0	0
http://purl.obolibrary.org/obo/HP_0000471	0	0
http://purl.obolibrary.org/obo/HP_0000473	1	0
http://purl.obolibrary.org/obo/HP_0000474	0	0
http://purl.obolibrary.org/obo/HP_0000478	2	39
http://purl.obolibrary.org/obo/HP_0000479	0	3
http://purl.obolibrary.org/obo/HP_0000481	0	10
http://purl.obolibrary.org/obo/HP_0000483	9	0
http://purl.obolibrary.org/obo/HP_0000485	0	0
http://purl.obolibrary.org/obo/HP_0000486	5	0
http://purl.obolibrary.org/obo/HP_0000490	0	0
http://purl.obolibrary.org/obo/HP_0000494	0	0
http://purl.obolibrary.org/obo/HP_0000504	0	6
http://purl.obolibrary.org/obo/HP_0000505	2	2
http://purl.obolibrary.org/obo/HP_0000512	0	0
http://purl.obolibrary.org/obo/HP_0000517	0	1
http://purl.obolibrary.org/obo/HP_0000519	0	0
http://purl.obolibrary.org/obo/HP_0000520	1	0
http://purl.obolibrary.org/obo/HP_0000527	0	0
http://purl.obolibrary.org/obo/HP_0000528	0	0
http://purl.obolibrary.org/obo/HP_0000529	0	0
http://purl.obolibrary.org/obo/HP_0000535	0	0
http://purl.obolibrary.org/obo/HP_0000539	0	11
http://purl.obolibrary.org/obo/HP_0000540	1	0
http://purl.obolibrary.org/obo/HP_0000544	0	0
http://purl.obolibrary.org/obo/HP_0000545	1	0
http://purl.obolibrary.org/obo/HP_0000549	0	5
http://purl.obolibrary.org/obo/HP_0000559	0	0
http://purl.obolibrary.org/obo/HP_0000565	0	0
http://purl.obolibrary.org/obo/HP_0000572	0	0
http://purl.obolibrary.org/obo/HP_0000573	2	0
http://purl.obolibrary.org/obo/HP_0000577	0	0
http://purl.obolibrary.org/obo/HP_0000580	0	0
http://purl.obolibrary.org/obo/HP_0000581	0	0
http://purl.obolibrary.org/obo/HP_0000582	0	0
http://purl.obolibrary.org/obo/HP_0000598	0	17
http://purl.obolibrary.org/obo/HP_0000603	0	0
http://purl.obolibrary.org/obo/HP_0000610	0	0
http://purl.obolibrary.org/obo/HP_0000614	0	0
http://purl.obolibrary.org/obo/HP_0000616	0	0
http://purl.obolibrary.org/obo/HP_0000618	1	0
http://purl.obolibrary.org/obo/HP_0000622	0	0
http://purl.obolibrary.org/obo/HP_0000629	0	0
